total
"R$9,121"
"R$1,493"
"R$12,680"
"R$2,116"
"R$1,257"
"R$2,270"
"R$7,389"
"R$1,984"
"R$2,963"
"R$3,470"
"R$1,230"
"R$1,963"
"R$2,555"
"R$22,790"
"R$4,691"
"R$1,319"
"R$3,640"
"R$3,813"
"R$10,630"
"R$5,269"
"R$2,923"
"R$3,229"
"R$4,452"
"R$10,140"
"R$11,100"
"R$3,577"
"R$8,642"
"R$17,260"
"R$3,443"
"R$6,175"
"R$3,610"
"R$3,787"
"R$4,193"
"R$1,920"
"R$8,933"
"R$6,700"
"R$3,170"
"R$8,958"
"R$3,616"
"R$19,100"
"R$1,977"
"R$24,530"
"R$10,340"
"R$1,522"
"R$9,070"
"R$3,000"
"R$17,060"
"R$14,530"
"R$6,164"
"R$2,769"
"R$10,900"
"R$2,521"
R$897
"R$2,005"
"R$9,931"
"R$7,284"
"R$1,717"
"R$2,660"
"R$1,764"
"R$9,213"
"R$1,975"
"R$6,073"
"R$7,613"
"R$6,447"
"R$2,555"
"R$3,408"
"R$1,358"
"R$16,590"
"R$1,408"
"R$3,872"
"R$1,813"
"R$5,611"
"R$11,830"
"R$4,227"
"R$2,117"
"R$4,958"
"R$4,428"
"R$1,526"
"R$5,835"
"R$1,774"
"R$1,271"
"R$3,272"
"R$10,140"
"R$13,820"
"R$4,226"
"R$8,764"
"R$2,555"
"R$5,702"
"R$3,717"
"R$16,250"
"R$2,893"
"R$2,875"
"R$12,900"
"R$18,560"
"R$4,089"
"R$2,536"
"R$8,829"
"R$10,610"
"R$2,718"
"R$2,577"
"R$1,424"
"R$4,796"
"R$1,120"
"R$3,519"
"R$3,134"
"R$11,770"
"R$2,901"
"R$15,300"
"R$10,520"
"R$2,970"
"R$1,117"
"R$1,414"
"R$2,503"
"R$6,194"
"R$5,591"
"R$14,320"
"R$24,890"
"R$5,427"
"R$4,478"
"R$8,179"
"R$1,199"
"R$1,787"
"R$1,917"
"R$9,269"
"R$13,180"
R$903
"R$8,621"
"R$1,050"
"R$2,176"
"R$1,156"
"R$9,248"
"R$14,680"
"R$3,078"
"R$2,233"
"R$1,602"
"R$2,257"
"R$2,980"
"R$3,226"
"R$1,523"
"R$10,290"
"R$13,990"
"R$4,554"
"R$13,420"
"R$1,515"
"R$9,131"
"R$3,298"
"R$4,065"
"R$2,418"
"R$3,386"
"R$6,356"
"R$10,200"
"R$1,542"
"R$9,478"
"R$1,628"
"R$5,758"
"R$1,189"
"R$3,996"
"R$15,480"
"R$6,558"
"R$1,837"
"R$9,613"
"R$2,972"
"R$1,219"
"R$11,950"
"R$7,590"
"R$2,830"
"R$3,499"
"R$10,810"
"R$2,705"
"R$4,064"
"R$2,781"
"R$3,138"
"R$2,087"
"R$10,920"
"R$3,483"
"R$7,911"
"R$9,977"
"R$2,880"
"R$2,119"
"R$11,140"
"R$7,686"
"R$3,310"
"R$1,519"
"R$2,820"
"R$1,661"
"R$16,610"
"R$11,700"
"R$3,452"
"R$3,992"
"R$8,027"
"R$1,720"
"R$5,923"
"R$4,902"
"R$1,731"
"R$3,041"
"R$6,575"
"R$4,000"
"R$15,180"
"R$6,871"
"R$1,530"
"R$3,399"
"R$4,854"
"R$3,718"
"R$5,041"
"R$12,330"
"R$14,240"
"R$4,072"
"R$8,795"
"R$2,948"
"R$11,150"
"R$21,760"
"R$4,245"
"R$9,985"
"R$4,850"
"R$9,678"
"R$2,507"
"R$2,343"
"R$4,810"
"R$8,001"
"R$1,196"
"R$1,482"
R$891
"R$6,876"
"R$9,894"
"R$7,540"
"R$7,040"
"R$4,558"
"R$8,569"
"R$2,653"
"R$5,044"
"R$6,137"
"R$7,218"
"R$1,920"
"R$1,591"
"R$3,589"
"R$3,419"
"R$10,990"
"R$5,310"
"R$19,640"
"R$4,639"
"R$7,054"
"R$5,394"
"R$9,948"
"R$7,116"
"R$20,940"
"R$3,612"
"R$12,210"
"R$2,774"
"R$3,445"
"R$1,144"
"R$8,763"
"R$2,060"
"R$2,069"
"R$19,770"
"R$10,700"
"R$6,578"
"R$5,555"
"R$7,525"
"R$10,640"
"R$8,758"
"R$6,934"
"R$15,550"
"R$1,239"
"R$9,505"
"R$2,643"
"R$2,952"
"R$2,329"
"R$5,858"
"R$2,910"
"R$3,944"
"R$3,553"
"R$9,781"
"R$2,419"
"R$2,925"
"R$13,740"
"R$1,953"
"R$2,133"
"R$2,425"
"R$5,941"
"R$1,016"
"R$1,477"
"R$6,433"
"R$11,780"
"R$1,732"
"R$4,044"
"R$8,590"
"R$1,023"
"R$2,928"
"R$1,345"
"R$21,040"
"R$2,676"
"R$5,401"
"R$8,116"
"R$2,706"
"R$2,223"
"R$2,242"
"R$16,350"
"R$1,675"
"R$13,900"
"R$2,656"
"R$4,568"
"R$2,112"
"R$6,343"
"R$6,249"
"R$11,500"
"R$4,127"
"R$4,385"
"R$17,310"
"R$1,054"
"R$1,462"
"R$2,564"
"R$2,677"
"R$6,264"
"R$5,526"
"R$14,410"
"R$7,132"
"R$8,467"
"R$2,858"
"R$5,885"
"R$6,366"
"R$1,679"
"R$2,133"
"R$11,730"
"R$2,187"
"R$4,553"
"R$4,148"
"R$7,083"
"R$1,606"
"R$5,311"
"R$1,109"
"R$2,502"
"R$5,531"
"R$15,480"
"R$1,786"
"R$1,746"
"R$1,595"
"R$10,280"
"R$3,467"
"R$5,318"
"R$5,452"
"R$17,100"
"R$4,809"
"R$1,702"
"R$7,603"
"R$3,709"
"R$3,492"
"R$1,227"
"R$11,120"
"R$2,027"
"R$6,166"
"R$5,075"
"R$15,080"
R$912
"R$4,951"
"R$3,629"
"R$11,000"
"R$15,460"
"R$2,242"
"R$2,499"
"R$10,770"
"R$12,180"
"R$9,021"
"R$1,828"
"R$18,190"
"R$4,456"
"R$15,120"
"R$4,182"
"R$2,401"
"R$5,858"
"R$10,420"
"R$3,154"
"R$5,497"
"R$1,296"
"R$11,530"
"R$6,770"
"R$20,690"
